Timestamp UTC;Timestamp;Value;Source;Measurement;Unit
2024-11-21 23.15.00;2024-11-22 06.15.00;151877,3125;APF.P1;Voltage L-L Avg Mean;V
2024-11-21 23.30.00;2024-11-22 06.30.00;151965,9531;APF.P1;Voltage L-L Avg High;V
2024-11-21 23.30.00;2024-11-22 06.30.00;151685,625;APF.P1;Voltage L-L Avg Low;V
2024-11-21 23.30.00;2024-11-22 06.30.00;151834,1094;APF.P1;Voltage L-L Avg Mean;V
2024-11-21 23.45.00;2024-11-22 06.45.00;151979,4063;APF.P1;Voltage L-L Avg High;V
2024-11-21 23.45.00;2024-11-22 06.45.00;151735,2188;APF.P1;Voltage L-L Avg Low;V
2024-11-21 23.45.00;2024-11-22 06.45.00;151870,9688;APF.P1;Voltage L-L Avg Mean;V
2024-11-22 00.00.00;2024-11-22 07.00.00;151944,4688;APF.P1;Voltage L-L Avg High;V
2024-11-22 00.00.00;2024-11-22 07.00.00;151475,6875;APF.P1;Voltage L-L Avg Low;V
2024-11-22 00.00.00;2024-11-22 07.00.00;151723,5313;APF.P1;Voltage L-L Avg Mean;V
2024-11-22 00.15.00;2024-11-22 07.15.00;151695,6563;APF.P1;Voltage L-L Avg High;V
2024-11-22 00.15.00;2024-11-22 07.15.00;151099,3594;APF.P1;Voltage L-L Avg Low;V
2024-11-22 00.15.00;2024-11-22 07.15.00;151420,1094;APF.P1;Voltage L-L Avg Mean;V
2024-11-22 00.30.00;2024-11-22 07.30.00;151318,0625;APF.P1;Voltage L-L Avg High;V
2024-11-22 00.30.00;2024-11-22 07.30.00;150415,3438;APF.P1;Voltage L-L Avg Low;V
2024-11-22 00.30.00;2024-11-22 07.30.00;150875,2188;APF.P1;Voltage L-L Avg Mean;V
2024-11-22 00.45.00;2024-11-22 07.45.00;151430,5938;APF.P1;Voltage L-L Avg High;V
2024-11-22 00.45.00;2024-11-22 07.45.00;149974,7344;APF.P1;Voltage L-L Avg Low;V
2024-11-22 00.45.00;2024-11-22 07.45.00;150354,9219;APF.P1;Voltage L-L Avg Mean;V
2024-11-22 01.00.00;2024-11-22 08.00.00;153575,8281;APF.P1;Voltage L-L Avg High;V
2024-11-22 01.00.00;2024-11-22 08.00.00;151518,4531;APF.P1;Voltage L-L Avg Low;V
2024-11-22 01.00.00;2024-11-22 08.00.00;152584,7344;APF.P1;Voltage L-L Avg Mean;V
2024-11-22 01.15.00;2024-11-22 08.15.00;153498,3281;APF.P1;Voltage L-L Avg High;V
2024-11-22 01.15.00;2024-11-22 08.15.00;152996,2969;APF.P1;Voltage L-L Avg Low;V
2024-11-22 01.15.00;2024-11-22 08.15.00;153239,4375;APF.P1;Voltage L-L Avg Mean;V
2024-11-22 01.30.00;2024-11-22 08.30.00;153205,4531;APF.P1;Voltage L-L Avg High;V
2024-11-22 01.30.00;2024-11-22 08.30.00;152593,75;APF.P1;Voltage L-L Avg Low;V
2024-11-22 01.30.00;2024-11-22 08.30.00;152947,4375;APF.P1;Voltage L-L Avg Mean;V
